waypoint,q1,q2,q3,q4,q5,q6
45,2.3222163842611803,-0.793059835544467,1.8020199955428806,-0.9827324931945762,-2.3901129566479327,0.0
46,2.322412227039329,-0.8260967028937798,1.8095818061958482,-0.9750373831244731,-2.389974421218744,0.0
47,2.3224870608132604,-0.8583118643148855,1.8137152172028574,-0.9577874721692502,-2.389913121670955,0.0
48,2.322466249787602,-0.890035875749783,1.8154057401313488,-0.9350332833488585,-2.3899263282807746,0.0
49,2.3223785543251996,-0.9212666948232124,1.8148580918493726,-0.9079992076585581,-2.390002399277314,0.0
50,2.322254927752127,-0.9518918323132174,1.8120418065544195,-0.8770696272796901,-2.39012182185697,0.0
51,2.3221281422413838,-0.9817552119843814,1.8068548097873673,-0.8423849171810809,-2.3902566248352075,0.0
52,2.322032695130568,-1.010678565657083,1.7991729116090915,-0.8040196127808878,-2.390370405114783,0.0
53,2.32200037158141,-1.0383853513358483,1.789163755666439,-0.7631078151375971,-2.3904205878486424,0.0
54,2.3220295051719932,-1.0646595902483613,1.7774669349254837,-0.7220810022055225,-2.3903988623186985,0.0
55,2.3221024345042687,-1.0895945754346343,1.7643570201323724,-0.6817225056415344,-2.390326849415775,0.0
56,2.3222019911697673,-1.113235373164154,1.749968246830001,-0.6423020884459526,-2.3902261379835594,0.0
57,2.3223115010992936,-1.1356122437835574,1.734391313834858,-0.6039338626471388,-2.390115833199502,0.0
58,2.3224147237614035,-1.156754321308987,1.7177018804547064,-0.566680046625381,-2.390012815949899,0.0
59,2.3224958450649296,-1.1766931720141696,1.6999687254400462,-0.5305814974274491,-2.3899319347849337,0.0
60,2.322536300771463,-1.1954710924727157,1.6815938946675795,-0.49661149748021394,-2.389887700915638,0.0
61,2.3224841058486194,-1.213298504839874,1.6639129899025162,-0.46810440914611956,-2.3899059446231092,0.0
62,2.322272354079876,-1.2305931363253453,1.6475512853863776,-0.44622403991633286,-2.38999412889821,0.0
63,2.321843474219345,-1.2476469229453215,1.632881485745237,-0.43134671359649857,-2.390109668170817,0.0
64,2.321149326431982,-1.2646859645216364,1.6202055664728685,-0.423652549255408,-2.3901570498191766,0.0
65,2.3201511161768926,-1.2818981974692962,1.6097958295839423,-0.4232726132671907,-2.389987288694822,0.0
66,2.3188194216912574,-1.2994368561255132,1.6018967542348168,-0.43030777449759716,-2.3893979241497085,0.0
67,2.317134072124857,-1.3174157931175763,1.5967124550516805,-0.4448054598103392,-2.3881354989639023,0.0
68,2.3150561457058227,-1.3358636285889738,1.5939280785115397,-0.46555395027600954,-2.3860361803357883,0.0
69,2.3124751138376793,-1.3545783186939813,1.5917401846431223,-0.4877060907778904,-2.3834504066688296,0.0
70,2.309377301825865,-1.373272432390537,1.589577040208218,-0.5095261728448206,-2.3805046098283573,0.0
71,2.305758527422805,-1.39184429793492,1.5872918795155424,-0.5305762690599706,-2.377249461864706,0.0
72,2.30161372000571,-1.410264099885764,1.584849307903424,-0.5507854809668395,-2.373718976176421,0.0
73,2.296937096388994,-1.4285223450316802,1.5822486090105428,-0.5701918476010811,-2.3699378218665603,0.0
74,2.2917222089746283,-1.4466155393200368,1.579501842460101,-0.5888690631071125,-2.3659224013207565,0.0
75,2.285967436147604,-1.4645425507191283,1.5766602699643522,-0.6069875601177005,-2.361657387700268,0.0
76,2.2796832428034803,-1.4823094033537039,1.5738662092677003,-0.6249346970276959,-2.3570530144296993,0.0
77,2.272859992362911,-1.4999319851548056,1.571170898417565,-0.6428631311290384,-2.3520792278953557,0.0
78,2.2654853878596963,-1.5174140357453016,1.568595652709871,-0.6608324913552235,-2.3467173891295747,0.0
79,2.257546241458951,-1.5347543164665591,1.5661539651098908,-0.6788748745787693,-2.3409474749653785,0.0
80,2.2490284478425826,-1.551949827852236,1.5638569233420159,-0.697012667610438,-2.334746661122517,0.0
81,2.2399169778888632,-1.5689966414002197,1.5617145538703336,-0.7152630357801947,-2.3280892576985037,0.0
82,2.2301958861569857,-1.5858900769989994,1.5597360225386312,-0.7336386841523579,-2.3209468317039335,0.0
83,2.2198483280792205,-1.6026247083298648,1.5579295208054265,-0.7521475947232379,-2.3132883840151663,0.0
84,2.20885658623854,-1.619194330848687,1.5563020738595312,-0.7707925043707672,-2.3050805684204825,0.0
85,2.197202106468614,-1.635591931106028,1.554859341223047,-0.7895703481047446,-2.296287954971619,0.0
86,2.184865544959769,-1.6518096688099073,1.5536054326368147,-0.808471736981232,-2.286873341541285,0.0
87,2.171826827801451,-1.6678388757608373,1.5525427498214859,-0.8274805013012276,-2.276798117313787,0.0
88,2.158065224521336,-1.6836700731717187,1.5516718609609719,-0.8465733185112324,-2.26602268137654,0.0
89,2.1435594371492876,-1.6992930076382244,1.550991413019415,-0.8657194418063481,-2.254506919122744,0.0
90,2.128267350296705,-1.7147039021303294,1.5504672597478502,-0.884805403647103,-2.242274015083699,0.0
